,temp,rain,humidity,sunshine,datetime
267,1.3,0.0,51,0.0,2019-01-12 09:00:00
268,2.5,0.0,52,0.2,2019-01-12 10:00:00
269,3.8,0.0,46,0.5,2019-01-12 11:00:00
270,5.7,0.0,37,1.0,2019-01-12 12:00:00
271,6.8,0.0,35,1.0,2019-01-12 13:00:00
272,7.0,0.0,35,1.0,2019-01-12 14:00:00
273,7.8,0.0,33,1.0,2019-01-12 15:00:00
274,6.9,0.0,34,0.6,2019-01-12 16:00:00
275,5.5,0.0,42,0.7,2019-01-12 17:00:00
276,3.8,0.0,46,0.0,2019-01-12 18:00:00
277,2.7,0.0,48,0.0,2019-01-12 19:00:00
278,2.2,0.0,45,0.0,2019-01-12 20:00:00
279,1.4,0.0,50,0.0,2019-01-12 21:00:00
280,0.7,0.0,53,0.0,2019-01-12 22:00:00
281,0.0,0.0,53,0.0,2019-01-12 23:00:00
282,-0.6,0.0,56,0.0,2019-01-13 00:00:00
283,-1.0,0.0,60,0.0,2019-01-13 01:00:00
284,-0.8,0.0,61,0.0,2019-01-13 02:00:00
285,-1.4,0.0,60,0.0,2019-01-13 03:00:00
286,-2.2,0.0,59,0.0,2019-01-13 04:00:00
287,-2.6,0.0,62,0.0,2019-01-13 05:00:00
288,-2.9,0.0,64,0.0,2019-01-13 06:00:00
289,-2.9,0.0,63,0.0,2019-01-13 07:00:00
290,-2.9,0.0,64,0.0,2019-01-13 08:00:00
291,-2.4,0.0,56,0.4,2019-01-13 09:00:00
292,-0.3,0.0,51,1.0,2019-01-13 10:00:00
293,2.5,0.0,42,1.0,2019-01-13 11:00:00
294,4.0,0.0,32,1.0,2019-01-13 12:00:00
295,6.3,0.0,31,1.0,2019-01-13 13:00:00
296,7.0,0.0,26,1.0,2019-01-13 14:00:00
297,7.1,0.0,25,1.0,2019-01-13 15:00:00
298,7.2,0.0,26,1.0,2019-01-13 16:00:00
299,5.7,0.0,31,1.0,2019-01-13 17:00:00
300,4.3,0.0,45,0.2,2019-01-13 18:00:00
301,3.1,0.0,63,0.0,2019-01-13 19:00:00
302,2.1,0.0,71,0.0,2019-01-13 20:00:00
303,1.4,0.0,75,0.0,2019-01-13 21:00:00
304,0.9,0.0,78,0.0,2019-01-13 22:00:00
305,0.3,0.0,74,0.0,2019-01-13 23:00:00
306,-0.2,0.0,77,0.0,2019-01-14 00:00:00
307,-0.7,0.0,78,0.0,2019-01-14 01:00:00
308,-1.0,0.0,79,0.0,2019-01-14 02:00:00
309,-1.0,0.0,78,0.0,2019-01-14 03:00:00
310,-1.2,0.0,80,0.0,2019-01-14 04:00:00
311,-1.6,0.0,80,0.0,2019-01-14 05:00:00
312,-1.9,0.0,80,0.0,2019-01-14 06:00:00
313,-2.2,0.0,82,0.0,2019-01-14 07:00:00
314,-2.2,0.0,79,0.0,2019-01-14 08:00:00
315,-1.7,0.0,75,0.0,2019-01-14 09:00:00
316,-0.4,0.0,72,0.0,2019-01-14 10:00:00
317,1.4,0.0,64,0.0,2019-01-14 11:00:00
318,3.1,0.0,56,0.2,2019-01-14 12:00:00
319,4.1,0.0,54,0.0,2019-01-14 13:00:00
320,4.8,0.0,53,0.0,2019-01-14 14:00:00
321,5.2,0.0,52,0.2,2019-01-14 15:00:00
322,4.9,0.0,52,0.0,2019-01-14 16:00:00
323,4.2,0.0,57,0.0,2019-01-14 17:00:00
324,3.2,0.0,62,0.0,2019-01-14 18:00:00
325,2.7,0.0,68,0.0,2019-01-14 19:00:00
326,2.5,0.0,72,0.0,2019-01-14 20:00:00
327,2.2,0.0,74,0.0,2019-01-14 21:00:00
328,2.2,0.0,73,0.0,2019-01-14 22:00:00
329,2.1,0.0,73,0.0,2019-01-14 23:00:00
330,2.3,0.0,72,0.0,2019-01-15 00:00:00
331,2.4,0.0,73,0.0,2019-01-15 01:00:00
